id,modifier_reference,modifier_name,modifier_name_localized,tax_group_reference,name,sku,price,cost,calories,name_localized,is_active
9d76df41-ba87-4c00-9e53-e9d09e02371c,,"Coffee | Shots",,,"1/2 Espresso | Brazil",ST-005,0,,,,No
9d76dede-d847-4a33-8f0b-b0e089b0446a,,"Coffee | Shots",,,"3 Espresso | Colombia",ST-004,0.6,,,,Yes
9d76c76f-8ec4-47e0-9eab-1d9e6f15dbe9,,"Coffee | Shots",,,"2 Espresso | Colombia",ST-003,0.3,,,,Yes
9d76bf93-7806-49f8-90e2-5ca51f116db1,,"Coffee | Shots",,,"1 Espresso | Colombia",ST-002,0,,,,Yes
9d76bf48-b2a7-4915-9da7-ba0314204c21,,"Coffee | Shots",,,"1/2 Espresso | Colombia",ST-001,0,,,,No
9cf64655-d246-462d-bad4-9920b9928ae0,,"Milk | Large",,,"Chocolate Sauce",CHO-002,0,,,,No
9cf6459f-7904-410c-b419-4b09b7d0d7fc,,"Milk | Medium",,,"Chocolate Sauce",CHO-001,0,,,,No
9cefc65b-0ad0-4860-ade3-9b32bc795e88,,"Milk | Large",,,"Koobs Chocolate Milk",MML-034,0,,,,No
9cefc619-cc2c-463e-8528-f2ae3c957eee,,"Milk | Medium",,,"Koobs Chocolate Milk",MML-033,0,,,,No
9ce7d85a-e84d-4f2b-a6a9-8f84f3f6fd60,,"Milk | Large",,,"LF Milk | Sweet",MML-032,0,,,,Yes
9ce7d64a-f7c0-452d-a842-d15169b4b051,,"Milk | Medium",,,"LF Milk | Sweet",MML-031,0,,,,Yes
9cdfd961-86bb-4c48-96c3-fa674a31ae89,,"Milk | Medium",,,"Oat Milk","MML - 019",0.2,,,,Yes
9cdfcfc3-bf93-4a39-9bf0-f3aae36cb947,,"Milk | Medium",,,"Coconut Milk","MML - 018",0.2,,,,Yes
9cdfcf79-604f-4ff4-9878-4e99731f6a7a,,"Milk | Medium",,,"Soya Milk","MML - 017",0.2,,,,Yes
9cdfcec8-27f7-4d8b-bcae-69dd9d13f3a1,,"Milk | Medium",,,"Almond Milk","MML - 016",0.2,,,,Yes
9cdfce56-dc09-405b-a320-8d7af3174d0b,,"Milk | Medium",,,"Lactose Free Milk","MML - 015",0,,,,Yes
9cdfccfa-42ae-48cf-b47a-86ce9f072783,,"Milk | Medium",,,"Barista FF Milk","MML - 014",0,,,,Yes
9cdfcc6a-7702-405c-8a47-26727aa56972,,"Milk | Medium",,,"FF Sweet Milk","MML - 013",0,,,,Yes
9cdfcbee-d4a1-4cea-a304-82f35718c5a9,,"Milk | Medium",,,"LF Milk","MML - 012",0,,,,Yes
9cdfcb73-0c99-42f8-83c4-c65fdb65a390,,"Milk | Medium",,,"Japan Milk","MML - 011",0,,,,Yes
9cdfcb02-7a71-4206-999d-989cf2e08c4b,,"Milk | Medium",,,"Extra | Sweet Milk","MML - 010",0,,,,Yes
9cdfa0c8-2f25-4e0d-8325-bca9604f25f2,,"Milk | Large",,,"Oat Milk",MML-009,0.25,,,,Yes
9cdfa052-ebd5-470b-bfcc-3fe97ff4f39d,,"Milk | Large",,,"Coconut Milk",MML-008,0.25,,,,Yes
9cdf986a-c842-40fb-836d-406c4cbe2264,,"Milk | Large",,,"Soya Milk",MML-007,0.25,,,,Yes
9cdf97c2-cff5-4aad-a1b9-bda6b866dc31,,"Milk | Large",,,"Almond Milk",MML-006,0.25,,,"حليب اللوز",Yes
9cdf964e-ac3c-4422-84eb-3ba27c8dd2e8,,"Milk | Large",,,"Lactose Free Milk",MML-005,0,,,,Yes
9cdf92ed-dca5-41ee-8e16-ebe77a261417,,"Milk | Large",,,"Barista FF Milk","MML - 004",0,,,,Yes
9cdf923d-2352-43c4-99cd-07397b6ed211,,"Milk | Large",,,"FF Sweet Milk",MML-003,0,,,,Yes
9cdf88ba-db90-449a-85ab-8cc8cc1bc431,,"Milk | Large",,,"LF Milk",MML-002,0,,,,Yes
9cdf87d4-a8d4-4ffc-aa43-71a2b116b428,,"Milk | Large",,,"Japan Milk",MML-001,0,,,,Yes
9cdf62d3-7aef-4054-82da-8c988b42a621,,"Milk | Large",,,"Extra | Sweet Milk",MML-000,0,,,,Yes
9cdf2cb0-1888-4a07-97bc-2ecb7bd951b3,,Delivery,,,"Koobs | Sandwich Wrapper",DEV-005,0,,,,Yes
9cdde252-bae9-4856-972a-39cca058f927,,Delivery,,,"Koobs | Cup Carrier With Belt",DEV-004,0,,,,Yes
9cddce78-248e-4877-8e0c-136ba776bac7,,Delivery,,,"Koobs | Paper Bag",DEV-003,0,,,,Yes
9cddcde9-1645-4d39-84b3-0ecc22ea7e56,,Delivery,,,"Corrugated | 4 Cups",DEV-002,0,,,,Yes
9cddcd3c-6bf1-4fd4-b38d-b8f056dc8d58,,Delivery,,,"Corrugated | 2 Cups",DEV-001,0,,,,Yes
9c385502-cb55-43b6-8b85-c3cfb782e1c9,,Topping,,,"Yuzu Puree",TOP-02,0.15,,,,Yes
9c3854b3-724f-4232-8285-59be5c8622c5,,Topping,,,"Peach Puree",TOP-01,0.15,,,,Yes
9bf655bd-f4b3-4cf5-8416-da6379c86638,11,Option,,,"Normal Water",MOP-019,0,,,,Yes
9bf64f87-927d-4fc6-92ec-633395efe553,11,Option,,,"No Water",MOP-018,0,,,,Yes
9bf64f5e-89cc-4020-ba04-d1a084579640,11,Option,,,"Less Water",MOP-017,0,,,,Yes
9b799dd0-0f7e-4910-84fd-14ff115af924,,"Hot Milk","حليب ساخن",,"Japan Milk","MML - 020",0,,,,Yes
9b799d88-8926-4903-8e12-9c06edd56246,,"Hot Milk","حليب ساخن",,"LF Milk | Non Sweet",MML-021,0,,,,Yes
9b799d43-7f4a-44fd-8649-1d70696a5f0b,,"Hot Milk","حليب ساخن",,"LF Milk | Sweet",MML-022,0,,,,Yes
9b799cd1-9775-42b9-bb6a-ec377fa85eda,,"Hot Milk","حليب ساخن",,"FF Sweet Milk",MML-023,0,,,,Yes
9b799c7b-5029-436b-bb91-d3730af5a991,,"Hot Milk","حليب ساخن",,"Barista FF Milk",MML-024,0,,,,Yes
9b799c35-3ae5-4544-939e-c03f8ae82ecd,,"Hot Milk","حليب ساخن",,"Lactose Free Milk",MML-025,0,,,,Yes
