product_name,product_name_localized,product_sku,modifier_name,modifier_name_localized,modifier_reference,minimum_options,maximum_options,free_options,default_options,unique_options
Brownie | Classic,Brownie | Classic,BROWNIE_CLASSIC,Extra,اضافي,Extra,0,10,0,,1
Brownie | Classic,Brownie | Classic,BROWNIE_CLASSIC,Delivery,ديليفري,Delivery,1,1,0,,1
Brownie | Fudge,Brownie | Fudge,BROWNIE_FUDGE,Extra,اضافي,Extra,0,10,0,,1
Brownie | Fudge,Brownie | Fudge,BROWNIE_FUDGE,Delivery,ديليفري,Delivery,1,1,0,,1
Cake Slice | Chocolate,Cake Slice | Chocolate,CAKE_SLICE_CHOCOLATE,Extra,اضافي,Extra,0,10,0,,1
Cake Slice | Chocolate,Cake Slice | Chocolate,CAKE_SLICE_CHOCOLATE,Delivery,ديليفري,Delivery,1,1,0,,1
Cake Slice | Cheesecake,Cake Slice | Cheesecake,CAKE_SLICE_CHEESECAKE,Extra,اضافي,Extra,0,10,0,,1
Cake Slice | Cheesecake,Cake Slice | Cheesecake,CAKE_SLICE_CHEESECAKE,Delivery,ديليفري,Delivery,1,1,0,,1
Cake Slice | Carrot,Cake Slice | Carrot,CAKE_SLICE_CARROT,Extra,اضافي,Extra,0,10,0,,1
Cake Slice | Carrot,Cake Slice | Carrot,CAKE_SLICE_CARROT,Delivery,ديليفري,Delivery,1,1,0,,1
Donut | Glazed,Donut | Glazed,DONUT_GLAZED,Extra,اضافي,Extra,0,10,0,,1
Donut | Glazed,Donut | Glazed,DONUT_GLAZED,Delivery,ديليفري,Delivery,1,1,0,,1
Donut | Chocolate,Donut | Chocolate,DONUT_CHOCOLATE,Extra,اضافي,Extra,0,10,0,,1
Donut | Chocolate,Donut | Chocolate,DONUT_CHOCOLATE,Delivery,ديليفري,Delivery,1,1,0,,1
Donut | Jelly,Donut | Jelly,DONUT_JELLY,Extra,اضافي,Extra,0,10,0,,1
Donut | Jelly,Donut | Jelly,DONUT_JELLY,Delivery,ديليفري,Delivery,1,1,0,,1
Pretzel,Pretzel,PRETZEL,Extra,اضافي,Extra,0,10,0,,1
Pretzel,Pretzel,PRETZEL,Delivery,ديليفري,Delivery,1,1,0,,1
Yogurt Parfait,Yogurt Parfait,YOGURT_PARFAIT,Extra,اضافي,Extra,0,10,0,,1
Yogurt Parfait,Yogurt Parfait,YOGURT_PARFAIT,Delivery,ديليفري,Delivery,1,1,0,,1
Fruit Bowl,Fruit Bowl,FRUIT_BOWL,Extra,اضافي,Extra,0,10,0,,1
Fruit Bowl,Fruit Bowl,FRUIT_BOWL,Delivery,ديليفري,Delivery,1,1,0,,1
Chips | Potato,Chips | Potato,CHIPS_POTATO,Delivery,ديليفري,Delivery,1,1,0,,1
Chips | Corn,Chips | Corn,CHIPS_CORN,Delivery,ديليفري,Delivery,1,1,0,,1
Nuts Mix,Nuts Mix,NUTS_MIX,Delivery,ديليفري,Delivery,1,1,0,,1
Granola Bar,Granola Bar,GRANOLA_BAR,Delivery,ديليفري,Delivery,1,1,0,,1
