         table_name          | table_schema |           column_name            | ordinal_position |        data_type         | is_nullable |                    column_default                     
 modifier_options            | catalog      | tenant_id                        |                2 | uuid                     | NO          | 
 modifier_options            | catalog      | group_id                         |                3 | uuid                     | NO          | 
 modifier_options            | catalog      | name                             |                4 | text                     | NO          | 
 modifier_options            | catalog      | price                            |                5 | numeric                  | NO          | 0
 modifier_options            | catalog      | is_active                        |                6 | boolean                  | NO          | true
 modifier_options            | catalog      | sort_order                       |                7 | integer                  | YES         | 
 modifier_options            | catalog      | created_at                       |                8 | timestamp with time zone | NO          | now()
 modifier_options            | public       | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 modifier_options            | public       | tenant_id                        |                2 | uuid                     | NO          | 
 modifier_options            | public       | group_id                         |                3 | uuid                     | NO          | 
 modifier_options            | public       | name                             |                4 | text                     | NO          | 
 modifier_options            | public       | price                            |                5 | numeric                  | NO          | 0
 modifier_options            | public       | is_active                        |                6 | boolean                  | NO          | true
 modifier_options            | public       | sort_order                       |                7 | integer                  | YES         | 
 modifier_options            | public       | created_at                       |                8 | timestamp with time zone | NO          | now()
 modifier_options            | public       | reference                        |                9 | text                     | YES         | 
 paid_order_counters         | catalog      | tenant_id                        |                1 | uuid                     | NO          | 
 paid_order_counters         | catalog      | branch_id                        |                2 | uuid                     | NO          | 
 paid_order_counters         | catalog      | current                          |                3 | bigint                   | NO          | 0
 paid_order_counters         | public       | tenant_id                        |                1 | uuid                     | NO          | 
 paid_order_counters         | public       | branch_id                        |                2 | uuid                     | NO          | 
 paid_order_counters         | public       | current                          |                3 | bigint                   | NO          | 0
 paid_orders                 | catalog      | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 paid_orders                 | catalog      | ticket_no                        |                2 | bigint                   | NO          | nextval('paid_orders_ticket_no_seq'::regclass)
 paid_orders                 | catalog      | tenant_id                        |                3 | uuid                     | NO          | 
 paid_orders                 | catalog      | branch_id                        |                4 | uuid                     | YES         | 
 paid_orders                 | catalog      | basket_id                        |                5 | text                     | NO          | 
 paid_orders                 | catalog      | osn                              |                6 | text                     | YES         | 
 paid_orders                 | catalog      | ref                              |                7 | text                     | YES         | 
 paid_orders                 | catalog      | branch_ticket_no                 |                8 | bigint                   | YES         | 
 paid_orders                 | catalog      | cashier_device_id                |                9 | uuid                     | YES         | 
 paid_orders                 | catalog      | cashier_name                     |               10 | text                     | YES         | 
 paid_orders                 | catalog      | display_device_id                |               11 | uuid                     | YES         | 
 paid_orders                 | catalog      | customer_name                    |               12 | text                     | YES         | 
 paid_orders                 | catalog      | source                           |               13 | text                     | YES         | 
 paid_orders                 | catalog      | location                         |               14 | text                     | YES         | 
 paid_orders                 | catalog      | branch                           |               15 | text                     | YES         | 
 paid_orders                 | catalog      | items                            |               16 | jsonb                    | NO          | '[]'::jsonb
 paid_orders                 | catalog      | total                            |               17 | numeric                  | NO          | 0
 paid_orders                 | catalog      | currency                         |               18 | text                     | NO          | 'KWD'::text
 paid_orders                 | catalog      | paid_at                          |               19 | timestamp with time zone | NO          | now()
 paid_orders                 | catalog      | sent_to_foodics_at               |               20 | timestamp with time zone | YES         | 
 paid_orders                 | catalog      | foodics_status                   |               21 | text                     | YES         | 
 paid_orders                 | catalog      | foodics_order_id                 |               22 | text                     | YES         | 
 paid_orders                 | catalog      | meta                             |               23 | jsonb                    | NO          | '{}'::jsonb
 paid_orders                 | public       | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 paid_orders                 | public       | ticket_no                        |                2 | bigint                   | NO          | nextval('public.paid_orders_ticket_no_seq'::regclass)
 paid_orders                 | public       | tenant_id                        |                3 | uuid                     | NO          | 
 paid_orders                 | public       | branch_id                        |                4 | uuid                     | YES         | 
 paid_orders                 | public       | basket_id                        |                5 | text                     | NO          | 
 paid_orders                 | public       | osn                              |                6 | text                     | YES         | 
 paid_orders                 | public       | ref                              |                7 | text                     | YES         | 
 paid_orders                 | public       | branch_ticket_no                 |                8 | bigint                   | YES         | 
 paid_orders                 | public       | cashier_device_id                |                9 | uuid                     | YES         | 
 paid_orders                 | public       | cashier_name                     |               10 | text                     | YES         | 
 paid_orders                 | public       | display_device_id                |               11 | uuid                     | YES         | 
 paid_orders                 | public       | customer_name                    |               12 | text                     | YES         | 
 paid_orders                 | public       | source                           |               13 | text                     | YES         | 
 paid_orders                 | public       | location                         |               14 | text                     | YES         | 
 paid_orders                 | public       | branch                           |               15 | text                     | YES         | 
 paid_orders                 | public       | items                            |               16 | jsonb                    | NO          | '[]'::jsonb
 paid_orders                 | public       | total                            |               17 | numeric                  | NO          | 0
 paid_orders                 | public       | currency                         |               18 | text                     | NO          | 'KWD'::text
 paid_orders                 | public       | paid_at                          |               19 | timestamp with time zone | NO          | now()
 paid_orders                 | public       | sent_to_foodics_at               |               20 | timestamp with time zone | YES         | 
 paid_orders                 | public       | foodics_status                   |               21 | text                     | YES         | 
 paid_orders                 | public       | foodics_order_id                 |               22 | text                     | YES         | 
 paid_orders                 | public       | meta                             |               23 | jsonb                    | NO          | '{}'::jsonb
 permissions                 | public       | permission_id                    |                1 | uuid                     | NO          | gen_random_uuid()
 permissions                 | public       | code                             |                2 | character varying        | NO          | 
 permissions                 | public       | description                      |                3 | text                     | YES         | 
 permissions                 | saas         | permission_id                    |                1 | uuid                     | NO          | gen_random_uuid()
 permissions                 | saas         | code                             |                2 | character varying        | NO          | 
 permissions                 | saas         | description                      |                3 | text                     | YES         | 
 platform_admin_roles        | catalog      | admin_id                         |                1 | uuid                     | NO          | 
 platform_admin_roles        | catalog      | role_id                          |                2 | uuid                     | NO          | 
 platform_admin_roles        | public       | admin_id                         |                1 | uuid                     | NO          | 
 platform_admin_roles        | public       | role_id                          |                2 | uuid                     | NO          | 
 platform_admin_tenants      | catalog      | admin_id                         |                1 | uuid                     | NO          | 
 platform_admin_tenants      | catalog      | tenant_id                        |                2 | uuid                     | NO          | 
 platform_admin_tenants      | catalog      | created_at                       |                3 | timestamp with time zone | NO          | now()
 platform_admin_tenants      | public       | admin_id                         |                1 | uuid                     | NO          | 
 platform_admin_tenants      | public       | tenant_id                        |                2 | uuid                     | NO          | 
 platform_admin_tenants      | public       | created_at                       |                3 | timestamp with time zone | NO          | now()
 platform_admins             | catalog      | email                            |                1 | text                     | NO          | 
 platform_admins             | catalog      | status                           |                2 | text                     | NO          | 'active'::text
 platform_admins             | public       | admin_id                         |                1 | uuid                     | NO          | gen_random_uuid()
 platform_admins             | public       | email                            |                2 | text                     | NO          | 
 platform_admins             | public       | full_name                        |                3 | text                     | YES         | 
 platform_admins             | public       | status                           |                4 | text                     | NO          | 'active'::text
 platform_admins             | public       | created_at                       |                5 | timestamp with time zone | NO          | now()
 platform_permissions        | catalog      | code                             |                1 | text                     | NO          | 
 platform_permissions        | catalog      | description                      |                2 | text                     | YES         | 
 platform_permissions        | public       | code                             |                1 | text                     | NO          | 
 platform_permissions        | public       | description                      |                2 | text                     | YES         | 
 platform_role_permissions   | catalog      | role_id                          |                1 | uuid                     | NO          | 
 platform_role_permissions   | catalog      | code                             |                2 | text                     | NO          | 
 platform_role_permissions   | public       | role_id                          |                1 | uuid                     | NO          | 
 platform_role_permissions   | public       | code                             |                2 | text                     | NO          | 
 platform_roles              | catalog      | role_id                          |                1 | uuid                     | NO          | gen_random_uuid()
 platform_roles              | catalog      | role_name                        |                2 | text                     | NO          | 
 platform_roles              | catalog      | description                      |                3 | text                     | YES         | 
 platform_roles              | catalog      | created_at                       |                4 | timestamp with time zone | NO          | now()
 platform_roles              | public       | role_id                          |                1 | uuid                     | NO          | gen_random_uuid()
 platform_roles              | public       | role_name                        |                2 | text                     | NO          | 
 platform_roles              | public       | description                      |                3 | text                     | YES         | 
 platform_roles              | public       | created_at                       |                4 | timestamp with time zone | NO          | now()
 platform_settings           | catalog      | id                               |                1 | text                     | NO          | 
 platform_settings           | catalog      | settings                         |                2 | jsonb                    | NO          | '{}'::jsonb
 platform_settings           | catalog      | updated_at                       |                3 | timestamp with time zone | NO          | now()
 platform_settings           | public       | id                               |                1 | text                     | NO          | 
 platform_settings           | public       | settings                         |                2 | jsonb                    | NO          | '{}'::jsonb
 platform_settings           | public       | updated_at                       |                3 | timestamp with time zone | NO          | now()
 product_branch_availability | catalog      | product_id                       |                1 | uuid                     | NO          | 
 product_branch_availability | catalog      | branch_id                        |                2 | uuid                     | NO          | 
 product_branch_availability | catalog      | available                        |                3 | boolean                  | NO          | true
 product_branch_availability | catalog      | price_override                   |                4 | numeric                  | YES         | 
 product_branch_availability | catalog      | packaging_fee_override           |                5 | numeric                  | YES         | 
 product_branch_availability | public       | product_id                       |                1 | uuid                     | NO          | 
 product_branch_availability | public       | branch_id                        |                2 | uuid                     | NO          | 
 product_branch_availability | public       | available                        |                3 | boolean                  | NO          | true
 product_branch_availability | public       | price_override                   |                4 | numeric                  | YES         | 
 product_branch_availability | public       | packaging_fee_override           |                5 | numeric                  | YES         | 
 product_modifier_groups     | catalog      | product_id                       |                1 | uuid                     | NO          | 
 product_modifier_groups     | catalog      | group_id                         |                2 | uuid                     | NO          | 
 product_modifier_groups     | catalog      | sort_order                       |                3 | integer                  | YES         | 
 product_modifier_groups     | catalog      | required                         |                4 | boolean                  | YES         | 
 product_modifier_groups     | catalog      | min_select                       |                5 | integer                  | YES         | 
 product_modifier_groups     | catalog      | max_select                       |                6 | integer                  | YES         | 
 product_modifier_groups     | public       | product_id                       |                1 | uuid                     | NO          | 
 product_modifier_groups     | public       | group_id                         |                2 | uuid                     | NO          | 
 product_modifier_groups     | public       | sort_order                       |                3 | integer                  | YES         | 
 product_modifier_groups     | public       | required                         |                4 | boolean                  | YES         | 
 product_modifier_groups     | public       | min_select                       |                5 | integer                  | YES         | 
 product_modifier_groups     | public       | max_select                       |                6 | integer                  | YES         | 
 products                    | catalog      | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 products                    | catalog      | tenant_id                        |                2 | uuid                     | NO          | 
 products                    | catalog      | category_id                      |                3 | uuid                     | YES         | 
 products                    | catalog      | name                             |                4 | text                     | NO          | 
 products                    | catalog      | sku                              |                5 | text                     | NO          | 
 products                    | catalog      | price                            |                6 | numeric                  | NO          | 0
 products                    | catalog      | currency                         |                7 | text                     | NO          | 'USD'::text
 products                    | catalog      | description                      |                8 | text                     | YES         | 
 products                    | catalog      | metadata                         |                9 | jsonb                    | NO          | '{}'::jsonb
 products                    | catalog      | status                           |               10 | text                     | NO          | 'active'::text
 products                    | catalog      | created_at                       |               11 | timestamp with time zone | NO          | now()
 products                    | catalog      | updated_at                       |               12 | timestamp with time zone | NO          | now()
 products                    | catalog      | deleted_at                       |               13 | timestamp with time zone | YES         | 
 products                    | catalog      | legacy_source                    |               14 | text                     | YES         | 
 products                    | catalog      | legacy_id                        |               15 | text                     | YES         | 
 products                    | catalog      | version                          |               16 | integer                  | NO          | 1
 products                    | catalog      | last_modified_by                 |               17 | uuid                     | YES         | 
 products                    | catalog      | sort_order                       |               18 | integer                  | YES         | 
 products                    | catalog      | is_featured                      |               19 | boolean                  | NO          | false
 products                    | catalog      | tags                             |               20 | ARRAY                    | NO          | '{}'::text[]
 products                    | catalog      | diet_flags                       |               21 | ARRAY                    | NO          | '{}'::diet_flag_enum[]
 products                    | catalog      | type                             |               22 | USER-DEFINED             | NO          | 'standard'::product_type
 products                    | catalog      | sync_status                      |               23 | USER-DEFINED             | NO          | 'pending'::sync_status
 products                    | catalog      | published_channels               |               24 | ARRAY                    | NO          | '{}'::text[]
 products                    | catalog      | internal_notes                   |               25 | text                     | YES         | 
 products                    | catalog      | staff_notes                      |               26 | text                     | YES         | 
