         table_name          | table_schema |      column_name       | ordinal_position |        data_type         | is_nullable |                     column_default                     
 paid_orders                 | catalog      | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 paid_orders                 | catalog      | ticket_no              |                2 | bigint                   | NO          | nextval('catalog.paid_orders_ticket_no_seq'::regclass)
 paid_orders                 | catalog      | tenant_id              |                3 | uuid                     | NO          | 
 paid_orders                 | catalog      | branch_id              |                4 | uuid                     | YES         | 
 paid_orders                 | catalog      | basket_id              |                5 | text                     | NO          | 
 paid_orders                 | catalog      | osn                    |                6 | text                     | YES         | 
 paid_orders                 | catalog      | ref                    |                7 | text                     | YES         | 
 paid_orders                 | catalog      | branch_ticket_no       |                8 | bigint                   | YES         | 
 paid_orders                 | catalog      | cashier_device_id      |                9 | uuid                     | YES         | 
 paid_orders                 | catalog      | cashier_name           |               10 | text                     | YES         | 
 paid_orders                 | catalog      | display_device_id      |               11 | uuid                     | YES         | 
 paid_orders                 | catalog      | customer_name          |               12 | text                     | YES         | 
 paid_orders                 | catalog      | source                 |               13 | text                     | YES         | 
 paid_orders                 | catalog      | location               |               14 | text                     | YES         | 
 paid_orders                 | catalog      | branch                 |               15 | text                     | YES         | 
 paid_orders                 | catalog      | items                  |               16 | jsonb                    | NO          | '[]'::jsonb
 paid_orders                 | catalog      | total                  |               17 | numeric                  | NO          | 0
 paid_orders                 | catalog      | currency               |               18 | text                     | NO          | 'KWD'::text
 paid_orders                 | catalog      | paid_at                |               19 | timestamp with time zone | NO          | now()
 paid_orders                 | catalog      | sent_to_foodics_at     |               20 | timestamp with time zone | YES         | 
 paid_orders                 | catalog      | foodics_status         |               21 | text                     | YES         | 
 paid_orders                 | catalog      | foodics_order_id       |               22 | text                     | YES         | 
 paid_orders                 | catalog      | meta                   |               23 | jsonb                    | NO          | '{}'::jsonb
 paid_orders                 | public       | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 paid_orders                 | public       | ticket_no              |                2 | bigint                   | NO          | nextval('public.paid_orders_ticket_no_seq'::regclass)
 paid_orders                 | public       | tenant_id              |                3 | uuid                     | NO          | 
 paid_orders                 | public       | branch_id              |                4 | uuid                     | YES         | 
 paid_orders                 | public       | basket_id              |                5 | text                     | NO          | 
 paid_orders                 | public       | osn                    |                6 | text                     | YES         | 
 paid_orders                 | public       | ref                    |                7 | text                     | YES         | 
 paid_orders                 | public       | branch_ticket_no       |                8 | bigint                   | YES         | 
 paid_orders                 | public       | cashier_device_id      |                9 | uuid                     | YES         | 
 paid_orders                 | public       | cashier_name           |               10 | text                     | YES         | 
 paid_orders                 | public       | display_device_id      |               11 | uuid                     | YES         | 
 paid_orders                 | public       | customer_name          |               12 | text                     | YES         | 
 paid_orders                 | public       | source                 |               13 | text                     | YES         | 
 paid_orders                 | public       | location               |               14 | text                     | YES         | 
 paid_orders                 | public       | branch                 |               15 | text                     | YES         | 
 paid_orders                 | public       | items                  |               16 | jsonb                    | NO          | '[]'::jsonb
 paid_orders                 | public       | total                  |               17 | numeric                  | NO          | 0
 paid_orders                 | public       | currency               |               18 | text                     | NO          | 'KWD'::text
 paid_orders                 | public       | paid_at                |               19 | timestamp with time zone | NO          | now()
 paid_orders                 | public       | sent_to_foodics_at     |               20 | timestamp with time zone | YES         | 
 paid_orders                 | public       | foodics_status         |               21 | text                     | YES         | 
 paid_orders                 | public       | foodics_order_id       |               22 | text                     | YES         | 
 paid_orders                 | public       | meta                   |               23 | jsonb                    | NO          | '{}'::jsonb
 paid_orders                 | saas         | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 paid_orders                 | saas         | ticket_no              |                2 | bigint                   | NO          | nextval('paid_orders_ticket_no_seq'::regclass)
 paid_orders                 | saas         | tenant_id              |                3 | uuid                     | NO          | 
 paid_orders                 | saas         | branch_id              |                4 | uuid                     | YES         | 
 paid_orders                 | saas         | basket_id              |                5 | text                     | NO          | 
 paid_orders                 | saas         | osn                    |                6 | text                     | YES         | 
 paid_orders                 | saas         | ref                    |                7 | text                     | YES         | 
 paid_orders                 | saas         | branch_ticket_no       |                8 | bigint                   | YES         | 
 paid_orders                 | saas         | cashier_device_id      |                9 | uuid                     | YES         | 
 paid_orders                 | saas         | cashier_name           |               10 | text                     | YES         | 
 paid_orders                 | saas         | display_device_id      |               11 | uuid                     | YES         | 
 paid_orders                 | saas         | customer_name          |               12 | text                     | YES         | 
 paid_orders                 | saas         | source                 |               13 | text                     | YES         | 
 paid_orders                 | saas         | location               |               14 | text                     | YES         | 
 paid_orders                 | saas         | branch                 |               15 | text                     | YES         | 
 paid_orders                 | saas         | items                  |               16 | jsonb                    | NO          | '[]'::jsonb
 paid_orders                 | saas         | total                  |               17 | numeric                  | NO          | 0
 paid_orders                 | saas         | currency               |               18 | text                     | NO          | 'KWD'::text
 paid_orders                 | saas         | paid_at                |               19 | timestamp with time zone | NO          | now()
 paid_orders                 | saas         | sent_to_foodics_at     |               20 | timestamp with time zone | YES         | 
 paid_orders                 | saas         | foodics_status         |               21 | text                     | YES         | 
 paid_orders                 | saas         | foodics_order_id       |               22 | text                     | YES         | 
 paid_orders                 | saas         | meta                   |               23 | jsonb                    | NO          | '{}'::jsonb
 platform_admin_roles        | catalog      | admin_id               |                1 | uuid                     | NO          | 
 platform_admin_roles        | catalog      | role_id                |                2 | uuid                     | NO          | 
 platform_admin_roles        | public       | admin_id               |                1 | uuid                     | NO          | 
 platform_admin_roles        | public       | role_id                |                2 | uuid                     | NO          | 
 platform_admin_tenants      | catalog      | admin_id               |                1 | uuid                     | NO          | 
 platform_admin_tenants      | catalog      | tenant_id              |                2 | uuid                     | NO          | 
 platform_admin_tenants      | catalog      | created_at             |                3 | timestamp with time zone | NO          | now()
 platform_admin_tenants      | public       | admin_id               |                1 | uuid                     | NO          | 
 platform_admin_tenants      | public       | tenant_id              |                2 | uuid                     | NO          | 
 platform_admin_tenants      | public       | created_at             |                3 | timestamp with time zone | NO          | now()
 platform_admins             | catalog      | email                  |                1 | text                     | NO          | 
 platform_admins             | catalog      | status                 |                2 | text                     | NO          | 'active'::text
 platform_admins             | public       | admin_id               |                1 | uuid                     | NO          | gen_random_uuid()
 platform_admins             | public       | email                  |                2 | text                     | NO          | 
 platform_admins             | public       | full_name              |                3 | text                     | YES         | 
 platform_admins             | public       | status                 |                4 | text                     | NO          | 'active'::text
 platform_admins             | public       | created_at             |                5 | timestamp with time zone | NO          | now()
 platform_permissions        | catalog      | code                   |                1 | text                     | NO          | 
 platform_permissions        | catalog      | description            |                2 | text                     | YES         | 
 platform_permissions        | public       | code                   |                1 | text                     | NO          | 
 platform_permissions        | public       | description            |                2 | text                     | YES         | 
 platform_role_permissions   | catalog      | role_id                |                1 | uuid                     | NO          | 
 platform_role_permissions   | catalog      | code                   |                2 | text                     | NO          | 
 platform_role_permissions   | public       | role_id                |                1 | uuid                     | NO          | 
 platform_role_permissions   | public       | code                   |                2 | text                     | NO          | 
 platform_roles              | catalog      | role_id                |                1 | uuid                     | NO          | gen_random_uuid()
 platform_roles              | catalog      | role_name              |                2 | text                     | NO          | 
 platform_roles              | catalog      | description            |                3 | text                     | YES         | 
 platform_roles              | catalog      | created_at             |                4 | timestamp with time zone | NO          | now()
 platform_roles              | public       | role_id                |                1 | uuid                     | NO          | gen_random_uuid()
 platform_roles              | public       | role_name              |                2 | text                     | NO          | 
 platform_roles              | public       | description            |                3 | text                     | YES         | 
 platform_roles              | public       | created_at             |                4 | timestamp with time zone | NO          | now()
 platform_settings           | catalog      | id                     |                1 | text                     | NO          | 
 platform_settings           | catalog      | settings               |                2 | jsonb                    | NO          | '{}'::jsonb
